epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,1652.6,0.58708,1.4615,0.47798,0.96893,0,0.96425,0.7834,0.87302,0.72167,0.74508,0.68826,0.6316,0.36917,0.77715,3.3911,0.61896,1.16641,0,0.000297226,0.000297226,0.000297226
85,1672.67,0.58135,1.44171,0.46171,0.96693,0,0.93782,0.79656,0.87905,0.72842,0.75697,0.68674,0.65837,0.38734,0.7894,3.28896,0.62694,1.17707,0,0.000280723,0.000280723,0.000280723
86,1692.79,0.57061,1.41335,0.45762,0.95553,0,0.87479,0.81084,0.87286,0.73842,0.75979,0.66877,0.65547,0.37832,0.76553,3.39415,0.64674,1.14943,0,0.00026422,0.00026422,0.00026422
87,1712.43,0.54211,1.46562,0.443,0.92911,0,0.94037,0.7581,0.86998,0.73902,0.8452,0.59717,0.65945,0.38678,0.7518,3.46423,0.65364,1.1534,0,0.000247716,0.000247716,0.000247716
88,1732.12,0.56464,1.40264,0.45947,0.95041,0,0.98469,0.7581,0.87594,0.73217,0.71318,0.68223,0.67067,0.38406,0.75919,3.49203,0.62015,1.16365,0,0.000231213,0.000231213,0.000231213
89,1751.72,0.56053,1.43717,0.45593,0.95039,0,0.97967,0.77248,0.87767,0.74048,0.75734,0.66745,0.66776,0.37976,0.7624,3.66001,0.59847,1.16387,0,0.00021471,0.00021471,0.00021471
90,1771.37,0.57505,1.41512,0.46253,0.93586,0,0.97479,0.76231,0.87072,0.73552,0.83102,0.6164,0.64481,0.37437,0.73862,3.85381,0.62774,1.14909,0,0.000198206,0.000198206,0.000198206
91,1803.61,0.49918,1.13757,0.42695,0.92703,0,0.94881,0.77733,0.85503,0.72149,0.79003,0.6345,0.61169,0.36552,0.71955,4.03421,0.64707,1.13296,0,0.000181703,0.000181703,0.000181703
92,1822.56,0.49825,1.0936,0.41508,0.92177,0,0.96757,0.74494,0.8519,0.71944,0.78258,0.61518,0.61699,0.36813,0.72662,4.0339,0.63982,1.14183,0,0.0001652,0.0001652,0.0001652
93,1842.12,0.51353,1.1787,0.4605,0.95564,0,0.96347,0.74494,0.85553,0.7274,0.76564,0.60425,0.58638,0.37021,0.73731,3.89332,0.64041,1.15146,0,0.000148696,0.000148696,0.000148696
94,1861.68,0.48814,1.07061,0.40095,0.92561,0,0.93496,0.7581,0.85404,0.7205,0.85402,0.59717,0.62629,0.37288,0.74995,3.87793,0.6433,1.15588,0,0.000132193,0.000132193,0.000132193
95,1881.22,0.48156,1.06442,0.39503,0.91294,0,0.89662,0.77126,0.85922,0.72913,0.82528,0.57794,0.58699,0.37137,0.73379,3.88279,0.64378,1.14273,0,0.00011569,0.00011569,0.00011569
96,1900.81,0.48547,1.05583,0.39898,0.91961,0,0.88424,0.77126,0.85579,0.73179,0.84682,0.59717,0.64312,0.38012,0.7346,3.99301,0.65511,1.14772,0,9.91865e-05,9.91865e-05,9.91865e-05
97,1920.36,0.48819,1.16477,0.40154,0.91015,0,0.84682,0.78885,0.86037,0.74174,0.83514,0.59717,0.63341,0.38101,0.73457,3.95929,0.66008,1.14846,0,8.26832e-05,8.26832e-05,8.26832e-05
98,1940,0.46993,1.04438,0.38365,0.90788,0,0.84462,0.79287,0.86154,0.74605,0.83454,0.59717,0.63941,0.3826,0.72556,3.77767,0.64437,1.14873,0,6.61799e-05,6.61799e-05,6.61799e-05
99,1959.99,0.45974,1.07146,0.3847,0.91296,0,0.88012,0.77872,0.85888,0.73675,0.83836,0.59717,0.63019,0.37813,0.71157,3.63039,0.64172,1.13812,0,4.96766e-05,4.96766e-05,4.96766e-05
100,1979.54,0.47275,1.08957,0.40388,0.90172,0,0.88073,0.78227,0.85862,0.73524,0.84521,0.59717,0.64007,0.37853,0.70699,3.55669,0.63545,1.13224,0,3.31733e-05,3.31733e-05,3.31733e-05
